Date,Counts
2024-01-01T00:00:00Z,34
2024-01-02T00:00:00Z,44
2024-01-03T00:00:00Z,68
2024-01-04T00:00:00Z,98
2024-01-05T00:00:00Z,86
2024-01-06T00:00:00Z,19
2024-01-07T00:00:00Z,2
2024-01-08T00:00:00Z,73
2024-01-09T00:00:00Z,95
2024-01-10T00:00:00Z,108
2024-01-11T00:00:00Z,86
2024-01-12T00:00:00Z,90
2024-01-13T00:00:00Z,18
2024-01-14T00:00:00Z,1
2024-01-15T00:00:00Z,28
2024-01-16T00:00:00Z,60
2024-01-17T00:00:00Z,91
2024-01-18T00:00:00Z,97
2024-01-19T00:00:00Z,95
2024-01-20T00:00:00Z,31
2024-01-21T00:00:00Z,25
2024-01-22T00:00:00Z,71
2024-01-23T00:00:00Z,108
2024-01-24T00:00:00Z,91
2024-01-25T00:00:00Z,114
2024-01-26T00:00:00Z,82
2024-01-27T00:00:00Z,10
2024-01-28T00:00:00Z,3
2024-01-29T00:00:00Z,75
2024-01-30T00:00:00Z,108
2024-01-31T00:00:00Z,94
